X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-16.788, -39.607, 0, -49.166, -126.67, 6973, 147, 147, 14
-16.788, -39.107, 0, -56.995, 56.648, 6976, 142, 142, 12
-16.788, -38.607, 0, -52.751, 167.92, 6973, 140, 140, 11
-16.788, -38.107, 0, -49.268, 43.117, 6973, 138, 138, 10
-16.788, -37.607, 0, -56.432, 58.511, 6973, 150, 150, 12
-16.788, -37.107, 0, -46.076, -109.32, 6972, 152, 152, 13
-16.788, -36.607, 0, -63.171, -48.697, 6972, 148, 148, 12
-16.788, -36.107, 0, -52.167, 175.9, 6972, 144, 144, 11
-16.788, -35.607, 0, -48.102, -22.287, 6972, 142, 142, 10
-16.788, -35.107, 0, -55.162, 96.667, 6973, 147, 147, 10
-16.788, -34.607, 0, -53.676, -132.59, 6972, 139, 139, 10
-16.288, -40.107, 0, -46.239, -155.41, 6972, 804, 804, 59
-16.288, -39.607, 0, -47.349, 54.7, 6972, 800, 800, 58
-16.288, -39.107, 0, -43.223, -74.252, 6973, 800, 800, 58
-16.288, -38.607, 0, -44.159, 172.29, 6973, 798, 798, 56
-16.288, -38.107, 0, -41.299, 30.964, 6973, 815, 815, 61
-16.288, -37.607, 0, -41.463, -164.82, 6972, 805, 805, 58
-16.288, -37.107, 0, -42.174, 57.01, 6972, 805, 805, 58
-16.288, -36.607, 0, -44.132, -74.406, 6972, 896, 896, 60
-16.288, -36.107, 0, -44.966, 165.75, 6971, 908, 908, 62
-16.288, -35.607, 0, -41.992, 17.811, 6971, 900, 900, 60
-16.288, -35.107, 0, -43.882, -164.76, 6971, 894, 894, 58
-16.288, -34.607, 0, -42.154, 44.123, 6972, 909, 909, 59
-15.788, -40.107, 0, -49.354, -147.23, 6972, 787, 787, 53
-15.788, -39.607, 0, -45.808, 55.61, 6974, 789, 789, 54
-15.788, -39.107, 0, -45.227, -49.793, 6974, 802, 802, 58
-15.788, -38.607, 0, -44.216, -129.55, 6975, 809, 809, 57
-15.788, -38.107, 0, -52.093, 5.7759, 6973, 803, 803, 56
-15.788, -37.607, 0, -45.996, -178.49, 6974, 808, 808, 57
-15.788, -37.107, 0, -42.517, 67.234, 6974, 814, 814, 59
-15.788, -36.607, 0, -46.179, -113.99, 6973, 812, 812, 58
-15.788, -36.107, 0, -52.219, 93.201, 6973, 825, 825, 60
-15.788, -35.607, 0, -48.868, 1.0255, 6973, 826, 826, 61
-15.788, -35.107, 0, -37.758, -132.57, 6973, 846, 846, 64
-15.788, -34.607, 0, -37.899, 49.061, 6973, 966, 966, 67
-19.288, -34.28, 0, -51.006, -9.8933, 6973, 190, 190, 18
-19.288, -33.78, 0, -57.012, 70.109, 6972, 190, 190, 18
-19.288, -33.28, 0, -50.826, 122.26, 6972, 164, 164, 14
-19.288, -32.78, 0, -58.354, -151.25, 6972, 171, 171, 16
-19.288, -32.28, 0, -57.241, -20.235, 6975, 173, 173, 15
-19.288, -31.78, 0, -48.445, 22.618, 6975, 186, 186, 15
-19.288, -31.28, 0, -60.222, 64.582, 6975, 185, 185, 15
